Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Gonzaga,11,3,.786,23,11,.676,78.5,70.1,12.2,3.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Santa Clara,10,4,.714,21,10,.677,68.7,63.1,6.3,1.6,
3,Saint Mary's (CA),8,6,.571,17,15,.531,70.2,65.3,4.2,1.0,
4,San Francisco,8,6,.571,13,18,.419,74.2,76.0,-1.3,1.0,
5,San Diego,6,8,.429,18,14,.563,75.1,74.0,-1.6,-1.1,
6,Loyola Marymount,5,9,.357,13,18,.419,65.5,71.9,-5.7,1.8,
7,Portland,4,10,.286,9,23,.281,61.2,69.7,-8.7,0.8,
8,Pepperdine,4,10,.286,8,23,.258,77.1,83.2,-5.9,0.2,
