Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Gonzaga,17,1,.944,37,2,.949,82.6,61.5,25.3,4.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
2,Saint Mary's (CA),16,2,.889,29,5,.853,72.0,57.5,16.7,2.2,NCAA Tournament
3,Brigham Young,12,6,.667,22,12,.647,80.6,74.3,8.2,1.9,*Overall W-L adjusted to 0-12 conference W-L adjusted to 0-6
4,San Francisco,10,8,.556,20,13,.606,71.6,67.3,3.8,0.4,
4,Santa Clara,10,8,.556,17,16,.515,66.8,65.4,2.7,2.0,
6,Loyola Marymount,8,10,.444,15,15,.500,70.4,70.8,-0.5,1.6,
7,San Diego,6,12,.333,13,18,.419,65.3,71.3,-5.8,0.9,
8,Pepperdine,5,13,.278,9,22,.290,69.0,80.3,-10.0,1.9,
9,Pacific,4,14,.222,11,22,.333,66.8,71.8,-4.6,2.1,
10,Portland,2,16,.111,11,22,.333,67.1,72.2,-5.8,2.3,
