Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Gonzaga,13,1,.929,26,3,.897,87.8,65.3,26.8,4.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Saint Mary's (CA),12,3,.800,25,7,.781,69.8,60.5,14.8,6.5,NCAA Tournament
3,Santa Clara,10,5,.667,21,11,.656,78.1,72.2,9.7,3.7,
4,San Francisco,10,6,.625,24,9,.727,77.1,67.0,14.8,5.5,NCAA Tournament
5,Brigham Young,9,6,.600,22,10,.688,73.7,67.9,10.2,5.6,
6,Portland,7,7,.500,18,14,.563,73.9,72.0,-1.4,-0.4,
7,San Diego,7,9,.438,15,16,.484,65.8,67.3,-2.8,2.0,
8,Pacific,3,11,.214,8,22,.267,65.9,72.7,-7.6,0.9,
9,Loyola Marymount,3,12,.200,11,18,.379,69.3,74.1,-1.6,3.6,
10,Pepperdine,1,15,.063,7,25,.219,68.2,77.5,-6.6,3.8,
