Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Saint Mary's (CA),15,3,.833,29,6,.829,73.6,60.9,13.6,1.2,Reg. Season Champion
1,Gonzaga,15,3,.833,28,8,.778,78.9,65.6,16.9,4.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Brigham Young,13,5,.722,26,11,.703,83.6,72.8,12.4,2.4,*Overall W-L adjusted to 1-11 conference W-L adjusted to 0-5
4,Pepperdine,10,8,.556,18,14,.563,73.4,71.5,2.3,1.7,
5,San Francisco,8,10,.444,15,15,.500,77.6,78.7,-2.9,-0.7,
6,Santa Clara,7,11,.389,11,20,.355,67.2,73.3,-4.7,1.9,
7,Loyola Marymount,6,12,.333,14,17,.452,71.2,74.8,-3.6,0.9,
7,Portland,6,12,.333,12,20,.375,77.6,79.8,-2.2,0.6,
7,Pacific,6,12,.333,8,20,.286,69.6,71.8,-3.6,2.4,
10,San Diego,4,14,.222,9,21,.300,60.7,69.1,-7.8,1.4,
