Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Northern Iowa,14,4,.778,25,6,.806,75.2,64.7,9.8,1.4,Reg. Season Champion
2,Loyola (IL),13,5,.722,21,11,.656,68.7,62.7,5.7,0.5,
3,Bradley,11,7,.611,23,11,.676,71.7,65.9,5.3,0.3,Conf. Tournament Champion
3,Indiana State,11,7,.611,18,12,.600,68.4,66.8,3.2,1.8,
5,Southern Illinois,10,8,.556,16,16,.500,62.6,62.2,-0.2,0.4,
6,Valparaiso,9,9,.500,19,16,.543,72.3,71.3,1.4,1.2,
6,Missouri State,9,9,.500,16,17,.485,70.6,67.8,3.5,0.7,
8,Drake,8,10,.444,20,14,.588,69.4,67.7,0.4,0.6,
9,Illinois State,5,13,.278,10,21,.323,66.1,70.0,-2.7,2.0,
10,Evansville,0,18,.000,9,23,.281,67.2,74.0,-7.0,0.6,
