Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Indiana State,14,4,.778,22,10,.688,66.8,63.4,6.5,3.2,NCAA Tournament; Reg. Season Champion
2,Missouri State,13,5,.722,23,11,.676,66.4,62.9,7.5,4.1,
3,Southern Illinois,12,6,.667,20,13,.606,71.1,67.8,7.6,4.3,
4,Creighton,11,7,.611,23,10,.697,73.0,66.4,8.3,1.6,NCAA Tournament; Conf. Tournament Champion
5,Bradley,10,8,.556,14,16,.467,65.6,64.2,5.2,3.9,
6,Evansville,9,9,.500,18,12,.600,69.0,67.3,2.7,1.0,
7,Northern Iowa,7,11,.389,14,15,.483,62.0,63.6,0.9,2.5,
8,Wichita State,5,13,.278,12,17,.414,66.4,67.4,0.6,1.9,
8,Illinois State,5,13,.278,10,20,.333,67.7,71.7,-2.3,2.7,
10,Drake,4,14,.222,11,18,.379,62.2,63.6,-0.8,0.7,
