Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Missouri State,15,3,.833,26,9,.743,69.8,63.1,8.1,1.4,Reg. Season Champion
2,Wichita State,14,4,.778,29,8,.784,72.7,61.6,12.6,1.8,
3,Indiana State,12,6,.667,20,14,.588,66.3,64.5,3.4,2.9,NCAA Tournament; Conf. Tournament Champion
4,Creighton,10,8,.556,23,16,.590,68.8,65.4,4.9,1.4,
4,Northern Iowa,10,8,.556,20,14,.588,63.7,60.2,4.5,2.0,
6,Evansville,9,9,.500,16,16,.500,66.3,67.1,-0.3,1.8,
7,Drake,7,11,.389,13,18,.419,64.4,67.7,-2.6,0.8,
8,Southern Illinois,5,13,.278,13,19,.406,61.0,65.0,-2.5,1.5,
9,Illinois State,4,14,.222,12,19,.387,61.1,63.8,-3.4,-0.7,
9,Bradley,4,14,.222,12,20,.375,64.9,67.6,-1.5,1.7,
