Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Bradley,16,4,.800,25,10,.714,70.7,62.7,6.5,-0.7,Reg. Season Champion
2,Drake,15,5,.750,27,8,.771,74.8,63.9,7.8,-1.1,NCAA Tournament; Conf. Tournament Champion
3,Southern Illinois,14,6,.700,23,10,.697,65.7,61.4,1.1,-2.1,
3,Belmont,14,6,.700,21,11,.656,76.5,71.8,1.9,-1.9,
5,Indiana State,13,7,.650,23,13,.639,79.3,69.6,4.9,-4.0,
6,Missouri State,12,8,.600,17,15,.531,65.6,63.2,0.4,-1.0,
7,Murray State,11,9,.550,17,15,.531,70.4,72.0,-4.5,-1.6,
8,Northern Iowa,9,11,.450,14,18,.438,70.1,69.9,-2.7,-1.1,
9,Illinois State,6,14,.300,11,21,.344,66.5,70.5,-7.4,-3.4,
10,Valparaiso,5,15,.250,11,21,.344,68.9,73.6,-8.7,-2.7,
11,Illinois-Chicago,4,16,.200,12,20,.375,67.2,71.6,-8.8,-3.1,
12,Evansville,1,19,.050,5,27,.156,62.4,76.0,-15.1,-1.5,
