Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Belmont,16,4,.800,26,6,.813,83.9,73.3,8.9,-0.4,Reg. Season Champion
2,Bradley,13,7,.650,21,12,.636,77.6,73.4,3.8,0.5,
3,Illinois State,12,8,.600,20,12,.625,75.1,68.4,6.3,0.9,
3,Murray State,12,8,.600,20,12,.625,83.3,79.9,3.9,0.5,
3,Illinois-Chicago,12,8,.600,19,15,.559,75.5,70.0,3.8,0.5,
6,Northern Iowa,11,9,.550,23,12,.657,69.9,61.3,8.5,1.5,NCAA Tournament; Conf. Tournament Champion
6,Valparaiso,11,9,.550,18,15,.545,72.0,71.5,0.0,0.7,
8,Southern Illinois,10,10,.500,16,16,.500,73.0,69.6,3.1,0.9,
9,Drake,6,14,.300,14,20,.412,75.1,74.8,-0.9,1.4,
10,Indiana State,4,16,.200,11,21,.344,73.6,74.5,-2.7,0.7,
11,Evansville,3,17,.150,7,25,.219,67.0,76.5,-8.8,3.7,
