Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Maryland,14,6,.700,24,7,.774,71.8,64.5,17.8,10.5,Reg. Season Champion
1,Michigan State,14,6,.700,22,9,.710,75.9,64.7,21.9,10.8,Reg. Season Champion
1,Wisconsin,14,6,.700,21,10,.677,67.2,62.2,15.9,10.9,Reg. Season Champion
4,Illinois,13,7,.650,21,10,.677,72.2,65.3,15.3,9.8,
5,Ohio State,11,9,.550,21,10,.677,72.1,62.9,19.4,10.2,
5,Penn State,11,9,.550,21,10,.677,75.1,68.2,16.1,9.2,
5,Iowa,11,9,.550,20,11,.645,77.7,72.3,16.1,10.6,
5,Rutgers,11,9,.550,20,11,.645,69.9,62.6,15.7,9.7,
9,Michigan,10,10,.500,19,12,.613,75.0,68.3,17.9,11.2,
10,Indiana,9,11,.450,20,12,.625,71.4,66.7,15.1,10.4,
10,Purdue,9,11,.450,16,15,.516,68.2,62.6,16.3,10.8,
12,Minnesota,8,12,.400,15,16,.484,71.1,66.3,16.4,11.5,
13,Northwestern,3,17,.150,8,23,.258,64.9,70.1,5.3,10.5,
14,Nebraska,2,18,.100,7,25,.219,69.8,78.1,2.4,10.7,
