Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Wisconsin,16,2,.889,31,5,.861,67.3,54.4,19.6,6.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Purdue,15,3,.833,25,9,.735,69.6,62.4,13.1,5.9,NCAA Tournament
3,Indiana,14,4,.778,25,8,.758,75.0,65.3,15.8,6.1,NCAA Tournament
4,Michigan State,12,6,.667,27,9,.750,71.2,62.6,16.3,7.7,NCAA Tournament
5,Ohio State,10,8,.556,24,13,.649,68.9,62.2,13.7,8.0,
6,Minnesota,8,10,.444,20,14,.588,68.3,63.2,10.3,6.5,
7,Penn State,7,11,.389,15,16,.484,65.1,66.7,4.6,6.1,
8,Iowa,6,12,.333,13,19,.406,56.1,58.0,2.8,5.2,
9,Michigan,5,13,.278,10,22,.313,62.7,67.6,3.1,8.0,
10,Illinois,5,13,.278,16,19,.457,63.6,61.1,11.0,8.5,
11,Northwestern,1,17,.056,8,22,.267,61.8,67.9,-1.3,6.1,
