Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Illinois,15,1,.938,37,2,.949,77.0,61.1,24.1,8.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
2,Michigan State,13,3,.813,26,7,.788,78.5,65.4,20.5,7.4,NCAA Tournament; NCAA FF
3,Wisconsin,11,5,.688,25,9,.735,67.4,60.2,16.8,9.6,NCAA Tournament
4,Indiana,10,6,.625,15,14,.517,63.8,63.6,10.2,10.0,
5,Minnesota,10,6,.625,21,11,.656,68.0,62.9,12.1,7.0,NCAA Tournament
6,Ohio State,8,8,.500,20,12,.625,71.0,64.1,13.1,6.2,
7,Iowa,7,9,.438,21,12,.636,72.9,67.3,15.0,9.3,NCAA Tournament
8,Northwestern,6,10,.375,15,16,.484,59.0,62.0,4.3,7.4,
9,Michigan,4,12,.250,13,18,.419,61.6,64.0,4.8,7.1,
10,Purdue,3,13,.188,7,21,.250,62.9,68.1,5.9,11.1,
11,Penn State,1,15,.063,7,23,.233,63.4,70.7,-1.9,7.3,
