Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Illinois,13,3,.813,26,7,.788,72.8,62.9,16.9,7.1,NCAA Tournament; Reg. Season Champion
2,Wisconsin,12,4,.750,25,7,.781,68.4,57.0,19.0,7.5,NCAA Tournament; Conf. Tournament Champion
3,Michigan State,12,4,.750,18,12,.600,71.3,67.5,12.1,8.4,NCAA Tournament
4,Iowa,9,7,.563,16,13,.552,71.4,68.9,8.7,6.2,
5,Michigan,8,8,.500,23,11,.676,68.9,63.2,11.8,6.2,
6,Northwestern,8,8,.500,14,15,.483,61.6,62.9,4.6,5.9,
7,Purdue,7,9,.438,17,14,.548,64.9,60.6,9.7,5.5,
8,Indiana,7,9,.438,14,15,.483,64.9,67.6,5.2,7.9,
9,Ohio State,6,10,.375,14,16,.467,65.0,68.5,1.5,5.0,
10,Minnesota,3,13,.188,12,18,.400,70.1,71.7,3.7,5.4,
11,Penn State,3,13,.188,9,19,.321,58.3,66.9,-3.0,5.7,
