Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Wisconsin,12,4,.750,24,8,.750,70.3,59.3,17.5,6.5,NCAA Tournament; Reg. Season Champion
2,Illinois,11,5,.688,25,7,.781,74.6,61.6,19.8,6.8,NCAA Tournament; Conf. Tournament Champion
3,Michigan,10,6,.625,17,13,.567,69.0,67.3,9.6,7.9,
4,Purdue,10,6,.625,19,11,.633,71.9,65.3,16.0,9.4,NCAA Tournament
5,Michigan State,10,6,.625,22,13,.629,67.6,61.2,16.1,9.7,NCAA Tournament
6,Indiana,8,8,.500,21,13,.618,69.9,67.1,12.6,9.8,NCAA Tournament
7,Minnesota,8,8,.500,19,14,.576,73.6,71.2,9.1,6.7,
8,Ohio State,7,9,.438,17,15,.531,64.2,64.7,8.0,8.5,
9,Iowa,7,9,.438,17,14,.548,69.1,66.5,8.4,5.8,
10,Northwestern,3,13,.188,12,17,.414,62.6,65.7,2.4,5.4,
11,Penn State,2,14,.125,7,21,.250,63.1,72.9,-2.1,7.7,
