Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Fairfield,15,3,.833,25,8,.758,65.2,58.3,2.9,-3.9,Reg. Season Champion
2,Iona,13,5,.722,25,12,.676,79.0,69.7,7.0,-2.3,
2,Rider,13,5,.722,23,11,.676,73.1,68.8,1.6,-2.7,
4,Saint Peter's,11,7,.611,20,14,.588,60.9,60.1,-0.3,-1.1,NCAA Tournament; Conf. Tournament Champion
5,Loyola (MD),10,8,.556,15,15,.500,67.4,67.0,-3.3,-3.7,
6,Canisius,9,9,.500,15,15,.500,68.1,67.5,-2.9,-3.5,
7,Siena,8,10,.444,13,18,.419,67.8,70.0,-3.8,-1.7,
8,Niagara,5,13,.278,9,23,.281,61.4,70.3,-11.9,-3.0,
9,Manhattan,3,15,.167,6,25,.194,60.1,69.7,-11.7,-2.0,
9,Marist,3,15,.167,6,27,.182,60.0,72.2,-13.7,-1.5,
