Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Rider,15,3,.833,22,10,.688,81.9,78.3,1.0,-2.6,Reg. Season Champion
1,Canisius,15,3,.833,21,12,.636,76.3,71.1,0.4,-4.8,Reg. Season Champion
3,Niagara,12,6,.667,19,14,.576,83.3,83.9,-4.8,-4.2,
4,Iona,11,7,.611,20,14,.588,79.5,76.5,0.8,-2.2,NCAA Tournament; Conf. Tournament Champion
5,Fairfield,9,9,.500,17,16,.515,75.9,77.2,-5.0,-3.7,
5,Manhattan,9,9,.500,14,17,.452,69.3,70.2,-5.1,-4.2,
7,Quinnipiac,7,11,.389,12,21,.364,71.6,76.7,-9.5,-4.4,
7,Monmouth,7,11,.389,11,20,.355,75.4,76.5,-2.4,-1.2,
9,Saint Peter's,6,12,.333,14,18,.438,65.2,66.0,-5.2,-4.4,
10,Siena,4,14,.222,8,24,.250,67.7,75.2,-10.5,-3.0,
10,Marist,4,14,.222,6,25,.194,72.2,81.1,-12.5,-3.6,
