Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Siena,16,2,.889,27,8,.771,77.4,70.3,8.1,1.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Niagara,14,4,.778,26,9,.743,76.1,67.7,6.2,-2.2,
3,Rider,12,6,.667,19,13,.594,72.0,71.0,-2.6,-3.0,
4,Manhattan,9,9,.500,16,14,.533,64.4,64.2,-4.1,-3.4,
5,Fairfield,9,9,.500,17,15,.531,65.4,67.3,-2.3,-0.4,
6,Saint Peter's,8,10,.444,11,19,.367,59.3,63.7,-8.4,-3.4,
7,Iona,7,11,.389,12,19,.387,62.3,63.1,-3.2,-2.4,
8,Loyola (MD),7,11,.389,12,20,.375,67.1,71.7,-5.6,-0.6,
9,Canisius,4,14,.222,11,20,.355,62.9,67.6,-6.5,-1.7,
9,Marist,4,14,.222,10,23,.303,64.0,69.4,-7.2,-1.9,
