Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Iona,15,3,.833,25,8,.758,82.9,72.7,8.4,-1.8,NCAA Tournament; Reg. Season Champion
2,Loyola (MD),13,5,.722,24,9,.727,67.3,64.2,0.4,-2.7,NCAA Tournament; Conf. Tournament Champion
3,Manhattan,12,6,.667,21,13,.618,71.2,65.6,1.5,-4.1,
3,Fairfield,12,6,.667,22,15,.595,65.3,61.1,2.9,-1.3,
5,Rider,10,8,.556,13,19,.406,71.6,74.6,-5.4,-2.4,
6,Siena,8,10,.444,14,17,.452,63.7,66.5,-5.7,-2.9,
6,Niagara,8,10,.444,14,19,.424,70.4,74.2,-6.7,-2.9,
8,Marist,7,11,.389,14,18,.438,68.0,72.9,-8.2,-3.3,
9,Saint Peter's,4,14,.222,5,26,.161,58.0,69.0,-13.4,-2.4,
10,Canisius,1,17,.056,5,25,.167,65.5,75.7,-14.7,-4.5,
