Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Pennsylvania,12,2,.857,24,9,.727,75.9,68.9,2.2,-3.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Harvard,12,2,.857,18,14,.563,68.2,66.5,-0.3,-1.7,Reg. Season Champion
3,Yale,9,5,.643,16,15,.516,74.6,73.8,-4.2,-2.8,
4,Cornell,6,8,.429,12,16,.429,75.9,80.4,-8.8,-3.2,
5,Princeton,5,9,.357,13,16,.448,72.6,71.8,-2.4,-2.0,
5,Columbia,5,9,.357,8,19,.296,76.4,77.2,-5.6,-3.0,
7,Brown,4,10,.286,11,16,.407,77.0,79.0,-7.8,-4.7,
8,Dartmouth,3,11,.214,7,20,.259,68.2,73.0,-10.3,-4.0,
