Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Harvard,12,2,.857,26,5,.839,65.6,55.6,7.8,-1.6,NCAA Tournament; Reg. Season Champion
2,Pennsylvania,11,3,.786,20,13,.606,65.0,63.8,1.1,-0.1,
3,Princeton,10,4,.714,20,12,.625,66.9,62.5,2.6,-1.0,
4,Yale,9,5,.643,19,10,.655,68.7,64.8,-1.4,-2.6,
5,Cornell,7,7,.500,12,16,.429,65.5,67.8,-4.1,-1.0,
6,Columbia,4,10,.286,15,15,.500,65.2,62.1,-2.9,-3.2,
7,Brown,2,12,.143,8,23,.258,61.5,69.5,-12.5,-3.6,
8,Dartmouth,1,13,.071,5,25,.167,57.6,63.5,-10.1,-3.6,
