Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Yale,13,1,.929,22,8,.733,81.3,70.1,6.7,-3.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Cornell,9,5,.643,18,11,.621,85.1,77.5,0.9,-3.8,
3,Princeton,8,6,.571,19,11,.633,73.6,72.1,-2.8,-2.5,
3,Dartmouth,8,6,.571,14,14,.500,77.4,71.9,-4.7,-5.4,
5,Harvard,7,7,.500,12,15,.444,68.4,72.0,-7.9,-3.9,
6,Brown,6,8,.429,14,13,.519,72.2,71.6,-5.2,-4.3,
7,Pennsylvania,4,10,.286,8,19,.296,69.6,77.4,-10.6,-2.7,
8,Columbia,1,13,.071,12,15,.444,78.4,78.1,-9.2,-5.7,
