Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Saint Louis,13,3,.813,28,7,.800,68.2,58.2,14.3,4.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Virginia Commonwealth,12,4,.750,27,9,.750,76.9,64.5,16.9,4.5,NCAA Tournament
3,Butler,11,5,.688,27,9,.750,69.3,63.9,11.0,6.1,NCAA Tournament
3,La Salle,11,5,.688,24,10,.706,72.1,66.4,10.1,4.5,NCAA Tournament
3,Temple,11,5,.688,24,10,.706,72.2,67.9,9.5,5.2,NCAA Tournament
6,Massachusetts,9,7,.563,21,12,.636,73.0,71.7,5.8,4.5,
6,Xavier,9,7,.563,17,14,.548,65.2,62.5,7.7,5.0,
8,Charlotte,8,8,.500,21,12,.636,67.5,67.6,2.7,2.8,
8,Saint Joseph's,8,8,.500,18,14,.563,67.2,63.9,7.3,4.0,
8,Richmond,8,8,.500,19,15,.559,70.0,66.5,6.9,3.4,
11,Dayton,7,9,.438,17,14,.548,71.8,66.7,9.4,4.3,
11,St. Bonaventure,7,9,.438,14,15,.483,72.7,72.0,3.4,2.7,
11,George Washington,7,9,.438,13,17,.433,66.3,65.5,4.2,3.5,
14,Rhode Island,3,13,.188,8,21,.276,61.6,67.1,-0.6,5.0,
14,Fordham,3,13,.188,7,24,.226,64.4,75.9,-6.9,4.6,
16,Duquesne,1,15,.063,8,22,.267,67.6,75.6,-4.5,3.5,
