Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Davidson,14,4,.778,24,8,.750,79.0,69.4,12.0,3.2,NCAA Tournament; Reg. Season Champion
2,Dayton,13,5,.722,27,9,.750,67.8,60.8,11.0,4.1,NCAA Tournament
2,Rhode Island,13,5,.722,23,10,.697,67.6,60.2,9.3,2.9,
4,Virginia Commonwealth,12,6,.667,26,10,.722,72.5,65.8,12.8,6.1,NCAA Tournament; Conf. Tournament Champion
4,Richmond,12,6,.667,21,14,.600,66.1,61.2,8.7,3.8,
6,George Washington,10,8,.556,22,13,.629,67.3,62.0,8.1,2.8,
6,St. Bonaventure,10,8,.556,18,13,.581,67.3,64.7,3.9,1.3,
6,Massachusetts,10,8,.556,17,15,.531,69.4,70.5,3.6,4.7,
9,La Salle,8,10,.444,17,16,.515,63.2,62.3,4.8,3.9,
10,Saint Joseph's,7,11,.389,13,18,.419,61.7,64.5,-0.2,2.6,
11,Duquesne,6,12,.333,12,19,.387,71.4,74.3,-2.9,1.4,
12,Fordham,4,14,.222,10,21,.323,65.0,69.2,-2.2,2.7,
12,George Mason,4,14,.222,9,22,.290,64.4,69.3,-1.4,4.6,
14,Saint Louis,3,15,.167,11,21,.344,59.8,66.3,-5.4,2.4,
