Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Saint Joseph's,12,4,.750,19,12,.613,76.2,72.5,7.0,3.3,Reg. Season Champion
1,Temple,12,4,.750,19,15,.559,70.1,67.1,10.6,7.6,Reg. Season Champion
3,St. Bonaventure,8,8,.500,17,13,.567,80.5,78.1,6.1,3.6,
4,Massachusetts,6,10,.375,13,16,.448,64.3,65.9,2.9,4.5,
5,Fordham,4,12,.250,8,20,.286,70.7,78.5,-4.4,3.5,
5,Rhode Island,4,12,.250,8,20,.286,61.8,71.0,-5.5,3.7,
1,Xavier,14,2,.875,26,6,.813,72.4,62.6,13.9,4.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Richmond,11,5,.688,22,14,.611,62.8,61.5,5.5,4.2,
3,Dayton,10,6,.625,21,11,.656,73.1,63.8,12.7,3.4,
4,La Salle,6,10,.375,15,17,.469,66.5,68.4,0.8,2.6,
5,George Washington,5,11,.313,12,16,.429,69.5,75.2,-2.2,3.5,
6,Duquesne,4,12,.250,9,19,.321,64.0,72.1,-4.7,3.4,
