Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Temple,14,2,.875,27,6,.818,68.5,54.8,20.6,6.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,St. Bonaventure,11,5,.688,21,10,.677,68.9,64.7,9.5,5.3,NCAA Tournament
3,Massachusetts,9,7,.563,17,16,.515,68.6,64.8,7.8,5.0,
4,Fordham,7,9,.438,14,15,.483,75.5,76.6,1.7,2.8,
4,Saint Joseph's,7,9,.438,13,16,.448,70.4,70.7,5.4,5.7,
6,Rhode Island,2,14,.125,5,25,.167,62.3,76.6,-8.5,5.7,
1,Dayton,11,5,.688,22,9,.710,71.4,64.9,9.9,3.5,NCAA Tournament; Reg. Season Champion
2,Xavier,9,7,.563,21,12,.636,75.2,69.2,9.4,3.4,
2,George Washington,9,7,.563,15,15,.500,80.6,81.4,4.5,5.4,
4,Virginia Tech,8,8,.500,16,15,.516,64.4,63.9,3.0,2.5,
5,La Salle,5,11,.313,11,17,.393,65.9,68.7,0.3,3.1,
6,Duquesne,4,12,.250,9,20,.310,69.3,76.3,-4.6,2.5,
