Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Saint Joseph's,12,4,.750,23,7,.767,70.4,59.5,14.6,3.7,NCAA Tournament; Reg. Season Champion
2,Temple,10,6,.625,18,16,.529,66.6,66.1,7.2,6.7,
2,Rhode Island,9,7,.563,19,12,.613,69.8,69.6,3.5,3.3,*Conference W-L adjusted to 10-6
4,Massachusetts,6,10,.375,11,18,.379,61.7,66.5,-2.0,3.5,*Conference W-L adjusted to 6-10
5,Fordham,1,15,.063,2,26,.071,64.6,78.1,-9.5,4.0,*Conference W-L adjusted to 3-13
6,St. Bonaventure,7,9,.438,13,14,.481,79.5,78.1,5.7,4.4,*Overall W-L adjusted to 1-14 conference W-L adjusted to 1-15
1,Xavier,15,1,.938,26,6,.813,77.6,66.1,16.1,4.6,NCAA Tournament; Reg. Season Champion
2,Dayton,14,2,.875,24,6,.800,72.7,66.9,11.0,5.2,NCAA Tournament; Conf. Tournament Champion; *Conference W-L adjusted to 14-2
3,Richmond,9,7,.563,15,14,.517,65.1,62.4,6.2,3.5,*Conference W-L adjusted to 10-6
4,La Salle,5,11,.313,12,17,.414,68.3,71.4,0.1,3.2,*Conference W-L adjusted to 6-10
5,George Washington,5,11,.313,12,17,.414,71.4,71.9,2.8,3.3,
6,Duquesne,3,13,.188,9,21,.300,66.7,73.4,-4.4,2.3,*Conference W-L adjusted to 4-12
