Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Saint Louis,15,3,.833,28,5,.848,87.2,69.5,17.3,1.5,NCAA Tournament; Reg. Season Champion
1,Virginia Commonwealth,15,3,.833,27,7,.794,81.6,71.5,13.2,3.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Saint Joseph's,13,5,.722,22,11,.667,73.3,69.9,2.7,1.0,
4,Dayton,12,6,.667,23,11,.676,74.4,69.9,8.8,4.4,
5,George Mason,11,7,.611,23,9,.719,73.3,67.5,6.5,1.2,
6,Davidson,10,8,.556,20,13,.606,71.7,67.4,4.3,2.8,
7,Duquesne,9,9,.500,18,15,.545,78.3,75.2,3.4,2.3,
8,George Washington,8,10,.444,18,15,.545,82.1,73.7,9.1,2.2,
8,Fordham,8,10,.444,17,15,.531,69.8,65.5,0.2,-1.0,
10,Rhode Island,7,11,.389,16,16,.500,69.9,68.2,2.4,0.7,
11,Richmond,5,13,.278,15,17,.469,76.7,73.9,2.3,0.3,
11,La Salle,5,13,.278,9,23,.281,67.1,74.1,-4.1,4.0,
13,St. Bonaventure,4,14,.222,17,17,.500,76.4,74.5,2.4,1.7,
13,Loyola (IL),4,14,.222,9,24,.273,66.8,75.8,-6.1,2.8,
