Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Dayton,14,4,.778,25,8,.758,72.5,65.9,11.3,4.8,NCAA Tournament; Reg. Season Champion
1,St. Bonaventure,14,4,.778,22,9,.710,77.7,73.0,6.5,1.9,Reg. Season Champion
1,Virginia Commonwealth,14,4,.778,25,11,.694,77.3,67.8,13.8,4.4,NCAA Tournament; Reg. Season Champion
4,Saint Joseph's,13,5,.722,28,8,.778,77.2,70.1,12.1,4.9,NCAA Tournament; Conf. Tournament Champion
5,George Washington,11,7,.611,28,10,.737,75.7,68.5,11.4,4.2,
6,Davidson,10,8,.556,20,13,.606,79.0,78.1,5.7,5.1,
7,Rhode Island,9,9,.500,17,15,.531,69.4,64.8,7.9,3.3,
8,Fordham,8,10,.444,17,14,.548,71.2,68.6,1.9,-0.1,
9,Richmond,7,11,.389,16,16,.500,76.6,73.8,7.3,4.6,
10,Duquesne,6,12,.333,17,17,.500,79.5,78.7,1.4,1.4,
10,Massachusetts,6,12,.333,14,18,.438,73.5,75.8,0.6,3.0,
12,George Mason,5,13,.278,11,21,.344,66.9,72.3,-1.8,3.6,
12,Saint Louis,5,13,.278,11,21,.344,65.8,72.0,-2.7,3.5,
14,La Salle,4,14,.222,9,22,.290,64.1,73.5,-6.1,4.6,
