Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Dayton,15,3,.833,24,8,.750,75.9,66.4,13.0,4.3,NCAA Tournament; Reg. Season Champion
2,Virginia Commonwealth,14,4,.778,26,9,.743,74.7,66.9,11.6,3.8,NCAA Tournament
3,Rhode Island,13,5,.722,25,10,.714,73.6,65.4,12.9,4.6,NCAA Tournament; Conf. Tournament Champion
3,Richmond,13,5,.722,22,13,.629,74.2,72.0,5.4,3.3,
5,St. Bonaventure,11,7,.611,20,12,.625,76.8,72.4,6.0,1.5,
6,George Washington,10,8,.556,20,15,.571,69.9,69.7,2.4,2.1,
7,George Mason,9,9,.500,20,14,.588,74.1,71.7,3.0,1.3,
7,La Salle,9,9,.500,15,15,.500,75.5,76.6,1.9,2.9,
9,Davidson,8,10,.444,17,15,.531,73.8,71.6,6.4,4.3,
10,Fordham,7,11,.389,13,19,.406,65.3,67.7,-2.0,1.4,
11,Saint Louis,6,12,.333,12,21,.364,61.4,69.3,-6.1,1.9,
12,Massachusetts,4,14,.222,15,18,.455,71.8,71.9,1.6,1.7,
12,Saint Joseph's,4,14,.222,11,20,.355,69.5,73.1,0.1,3.7,
14,Duquesne,3,15,.167,10,22,.313,70.5,74.3,-3.1,0.7,
