Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UC-Santa Barbara,14,4,.778,18,14,.563,64.6,60.3,3.1,-1.1,Reg. Season Champion
2,UC-Irvine,13,5,.722,20,9,.690,70.0,64.0,2.1,-1.6,
3,Utah State,12,6,.667,24,9,.727,66.6,60.0,4.2,-1.4,NCAA Tournament; Conf. Tournament Champion
4,Cal Poly,10,8,.556,16,14,.533,68.2,68.6,-2.4,-1.5,
5,Idaho,9,9,.500,13,15,.464,62.8,63.4,-4.2,-2.5,
6,Cal State Northridge,8,10,.444,14,15,.483,71.5,69.3,-2.3,-2.2,
6,Cal State Fullerton,8,10,.444,10,19,.345,62.9,66.7,-6.7,-3.0,
8,Pacific,7,11,.389,12,16,.429,65.9,66.0,-1.0,-0.9,
9,UC-Riverside,5,13,.278,6,18,.250,65.6,73.8,-9.3,-0.3,
10,Cal State Long Beach,4,14,.222,5,22,.185,63.4,74.6,-12.8,-0.8,
