Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UC-Santa Barbara,12,4,.750,20,10,.667,67.6,65.7,-0.1,-1.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Pacific,12,4,.750,23,12,.657,65.6,60.9,2.9,-1.2,Reg. Season Champion
3,Cal State Long Beach,8,8,.500,17,16,.515,71.0,71.1,-0.4,1.5,
4,UC-Davis,8,8,.500,14,18,.438,69.5,70.7,-6.2,-3.0,
5,Cal State Fullerton,8,8,.500,16,15,.516,74.3,73.0,-2.9,-1.6,
6,Cal Poly,7,9,.438,12,19,.387,70.2,75.3,-8.0,-2.3,
7,UC-Irvine,6,10,.375,14,18,.438,67.6,69.6,-7.5,-3.7,
8,Cal State Northridge,6,10,.375,11,21,.344,71.3,75.4,-5.8,-1.1,
9,UC-Riverside,5,11,.313,12,17,.414,63.2,64.1,-7.0,-2.6,
