Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UC-Irvine,13,3,.813,21,11,.656,74.0,65.2,3.7,-2.2,Reg. Season Champion
2,UC-Santa Barbara,10,6,.625,21,10,.677,70.8,66.3,-0.6,-4.1,
2,Cal State Northridge,10,6,.625,15,17,.469,76.1,79.0,-6.4,-1.0,
4,Hawaii,8,8,.500,17,13,.567,68.6,67.2,-1.3,-2.1,
4,UC-Davis,8,8,.500,14,18,.438,72.8,71.4,-4.7,-2.6,
6,UC-Riverside,7,9,.438,17,15,.531,64.3,60.6,-3.6,-4.2,
7,Cal State Fullerton,6,10,.375,11,20,.355,68.6,71.4,-6.8,-1.4,
7,Cal State Long Beach,6,10,.375,11,21,.344,67.4,75.1,-8.7,1.1,
9,Cal Poly,4,12,.250,7,23,.233,67.6,74.9,-10.0,-0.4,
