Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Utah State,17,1,.944,25,4,.862,69.3,58.1,9.0,-1.4,Reg. Season Champion
1,Pacific,17,1,.944,25,8,.758,68.8,63.5,5.8,0.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,UC-Santa Barbara,10,8,.556,16,12,.571,66.0,62.0,2.4,-0.6,
4,Idaho,9,9,.500,14,16,.467,63.5,63.6,-0.8,0.4,
5,Cal State Northridge,7,11,.389,14,16,.467,68.2,68.8,-1.9,-0.5,
5,Cal State Fullerton,7,11,.389,11,17,.393,70.8,73.2,-4.0,-0.8,
5,UC-Riverside,7,11,.389,11,17,.393,69.0,70.5,-3.6,-0.2,
8,Cal Poly,6,12,.333,11,16,.407,70.4,73.2,-3.4,-0.2,
8,UC-Irvine,6,12,.333,11,17,.393,63.6,66.1,-3.3,-0.1,
10,Cal State Long Beach,4,14,.222,6,21,.222,62.9,72.5,-10.9,-0.6,
