Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Utah State,13,5,.722,23,8,.742,67.0,58.1,5.6,-1.7,Reg. Season Champion
1,UC-Irvine,13,5,.722,21,11,.656,69.4,65.3,3.4,-0.2,Reg. Season Champion
3,Pacific,11,7,.611,20,10,.667,70.1,64.9,2.9,-1.3,
3,UC-Santa Barbara,11,7,.611,20,11,.645,66.6,60.9,5.6,-0.1,NCAA Tournament; Conf. Tournament Champion
3,Cal State Northridge,11,7,.611,12,16,.429,68.3,69.5,-2.9,0.4,
6,Cal Poly,9,9,.500,15,12,.556,69.3,67.9,-1.3,-1.5,
6,Cal State Long Beach,9,9,.500,13,17,.433,71.2,72.2,-2.7,0.9,
8,Idaho,6,12,.333,9,19,.321,55.1,63.0,-9.9,-1.2,
9,UC-Riverside,5,13,.278,8,18,.308,64.5,70.6,-7.2,-0.6,
10,Cal State Fullerton,2,16,.111,5,22,.185,62.6,71.2,-11.4,-1.1,
