Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Utah State,16,0,1.000,28,6,.824,70.5,61.2,8.8,1.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,New Mexico State,11,5,.688,22,10,.688,70.8,65.5,6.3,2.0,
3,Boise State,6,10,.375,12,15,.444,62.2,62.2,0.5,0.5,
3,Idaho,6,10,.375,12,17,.414,68.9,71.2,-2.9,1.5,
3,Nevada,6,10,.375,9,20,.310,64.6,69.8,-4.3,1.5,
6,North Texas,5,11,.313,7,20,.259,75.6,88.5,-10.9,2.1,
1,Cal State Long Beach,15,1,.938,24,6,.800,81.2,68.7,8.8,-0.9,Reg. Season Champion
2,UC-Santa Barbara,10,6,.625,14,14,.500,66.8,65.1,1.0,0.2,
3,UC-Irvine,7,9,.438,14,14,.500,67.0,67.6,-3.5,-0.8,
4,Pacific,6,10,.375,11,18,.379,62.4,64.9,-3.4,-0.6,
5,Cal Poly,5,11,.313,10,18,.357,78.2,81.4,-5.6,-0.1,
6,Cal State Fullerton,3,13,.188,8,19,.296,71.9,77.9,-9.4,-1.2,
