Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Alcorn State,16,2,.889,21,10,.677,79.8,76.6,-11.3,-14.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Alabama A&M,12,6,.667,19,10,.655,79.9,73.2,-11.3,-15.8,
3,Alabama State,12,6,.667,19,13,.594,65.5,64.6,-13.3,-14.1,
4,Texas Southern,10,8,.556,11,17,.393,69.4,78.2,-20.3,-11.5,
5,Mississippi Valley State,9,9,.500,12,17,.414,76.1,78.6,-15.2,-12.7,
6,Prairie View,8,10,.444,10,20,.333,73.1,84.3,-24.0,-11.1,
7,Jackson State,8,10,.444,9,19,.321,73.1,78.5,-16.2,-10.8,
8,Grambling,7,11,.389,9,19,.321,78.1,86.7,-19.8,-9.9,
9,Southern,6,12,.333,7,20,.259,73.9,83.3,-22.0,-12.6,
10,Arkansas-Pine Bluff,2,16,.111,2,26,.071,66.1,84.9,-27.5,-8.7,
