Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Southern,15,3,.833,20,13,.606,63.4,62.7,-6.0,-6.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Grambling,11,7,.611,14,13,.519,67.7,69.4,-14.4,-10.6,
3,Alabama A&M,11,7,.611,13,13,.500,73.7,72.0,-9.1,-10.4,
4,Jackson State,10,8,.556,15,17,.469,71.7,73.6,-11.1,-8.8,
5,Alabama State,10,8,.556,12,18,.400,66.2,70.6,-13.0,-8.6,
6,Mississippi Valley State,9,9,.500,9,19,.321,61.2,69.9,-17.5,-9.0,
7,Arkansas-Pine Bluff,8,10,.444,13,16,.448,63.1,63.8,-12.5,-10.8,
8,Alcorn State,8,10,.444,8,20,.286,66.0,73.1,-15.1,-8.0,
9,Texas Southern,6,12,.333,8,22,.267,68.7,77.0,-18.1,-6.4,
10,Prairie View,2,16,.111,5,24,.172,66.5,79.7,-24.9,-9.2,
