Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Alabama State,15,3,.833,22,9,.710,68.9,63.9,-8.9,-13.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Mississippi Valley State,14,4,.778,18,9,.667,80.0,75.9,-9.2,-12.7,
3,Alabama A&M,13,5,.722,17,11,.607,73.4,74.6,-13.5,-11.8,
4,Alcorn State,13,5,.722,15,15,.500,74.8,76.1,-12.0,-10.8,
5,Southern,8,10,.444,11,16,.407,72.8,74.8,-16.6,-14.4,
6,Grambling,8,10,.444,8,18,.308,75.1,85.6,-19.9,-10.2,
7,Jackson State,7,11,.389,7,23,.233,67.1,74.9,-18.4,-10.4,
8,Texas Southern,5,13,.278,7,22,.241,64.4,75.6,-21.2,-10.9,
9,Prairie View,5,13,.278,6,22,.214,70.5,82.9,-24.4,-11.1,
10,Arkansas-Pine Bluff,2,16,.111,2,25,.074,61.5,84.6,-31.2,-8.2,
