Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Texas Southern,16,2,.889,22,13,.629,68.3,68.2,-6.0,-6.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Alabama State,14,4,.778,19,10,.655,72.1,66.8,-9.0,-12.7,
3,Southern,13,5,.722,18,17,.514,64.5,63.6,-9.9,-8.2,
4,Prairie View,12,6,.667,15,18,.455,67.0,69.1,-10.9,-8.2,
5,Arkansas-Pine Bluff,9,9,.500,12,20,.375,59.8,66.9,-15.6,-8.6,
5,Jackson State,9,9,.500,11,21,.344,60.7,63.5,-12.4,-9.5,
7,Alabama A&M,8,10,.444,9,20,.310,62.0,68.6,-17.2,-9.6,
8,Mississippi Valley State,5,13,.278,6,26,.188,63.9,80.1,-23.9,-7.8,
9,Alcorn State,4,14,.222,6,26,.188,64.6,74.3,-20.7,-9.9,
10,Grambling,0,18,.000,2,27,.069,52.0,72.6,-30.7,-8.0,
