Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Southern,15,3,.833,19,13,.594,71.2,62.7,-4.2,-7.9,Reg. Season Champion
2,Alabama State,12,6,.667,19,13,.594,70.8,69.5,-12.8,-11.4,
2,Texas Southern,12,6,.667,19,15,.559,76.0,73.9,-8.4,-10.1,NCAA Tournament; Conf. Tournament Champion
4,Arkansas-Pine Bluff,11,7,.611,13,18,.419,63.1,70.6,-15.4,-6.9,
5,Alabama A&M,10,8,.556,14,16,.467,64.5,67.0,-13.9,-10.6,
6,Alcorn State,9,9,.500,12,19,.387,64.0,67.8,-15.9,-9.3,
7,Jackson State,7,11,.389,11,20,.355,65.8,68.7,-11.6,-8.7,
8,Prairie View,6,12,.333,11,23,.324,69.5,77.1,-16.7,-8.0,
9,Mississippi Valley State,5,13,.278,9,23,.281,71.7,80.7,-21.1,-8.4,
10,Grambling,3,15,.167,5,24,.172,65.6,79.9,-24.6,-9.0,
