Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Oral Roberts,16,2,.889,24,9,.727,69.2,62.0,5.7,-0.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,IUPUI,15,3,.833,26,7,.788,76.1,64.6,5.1,-2.4,
3,Oakland,11,7,.611,17,14,.548,76.4,73.6,-0.2,-0.8,
4,North Dakota State-nm,10,8,.556,16,13,.552,77.2,71.2,,,
5,Southern Utah,9,9,.500,11,19,.367,69.1,73.1,-6.4,-2.0,
6,Purdue-Fort Wayne,9,9,.500,13,18,.419,68.9,70.0,-5.3,1.0,
7,Western Illinois,7,11,.389,12,18,.400,67.2,71.6,-10.4,-1.7,
8,Missouri-Kansas City,6,12,.333,11,21,.344,68.7,74.5,-7.0,-0.4,
9,Centenary (LA),4,14,.222,10,21,.323,69.8,77.3,-10.9,-1.7,
10,South Dakota State-nm,3,15,.167,8,21,.276,65.7,71.0,,,
