Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Oakland,17,1,.944,25,10,.714,85.5,76.9,8.3,0.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Oral Roberts,13,5,.722,19,16,.543,74.7,72.7,0.9,-1.2,
3,IUPUI,12,6,.667,19,14,.576,71.6,69.2,0.4,-0.8,
4,Purdue-Fort Wayne,11,7,.611,18,12,.600,74.3,70.1,-2.2,-5.2,
5,South Dakota State,10,8,.556,19,12,.613,81.7,73.7,3.1,-4.0,
6,Missouri-Kansas City,9,9,.500,16,14,.533,70.0,73.9,-8.9,-4.5,
7,North Dakota State,8,10,.444,14,15,.483,75.4,71.1,-1.5,-3.5,
8,Southern Utah,7,11,.389,11,19,.367,69.2,73.1,-7.8,-3.4,
9,Western Illinois,2,16,.111,7,23,.233,57.3,64.8,-15.1,-4.4,
10,Centenary (LA),1,17,.056,1,29,.033,59.2,80.7,-25.2,-2.9,
