Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Oral Roberts,18,0,1.000,30,5,.857,83.3,70.2,8.5,-2.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,South Dakota State,13,5,.722,19,13,.594,70.9,69.8,-1.8,-2.1,
3,North Dakota State,11,7,.611,16,17,.485,72.8,73.2,-4.6,-2.1,
4,St. Thomas,9,9,.500,19,14,.576,74.2,70.2,-3.1,-4.6,
4,Western Illinois,9,9,.500,16,14,.533,73.0,72.4,-7.6,-4.7,
6,South Dakota,7,11,.389,12,19,.387,69.3,73.6,-9.9,-3.3,
6,Kansas City,7,11,.389,11,21,.344,64.4,68.7,-9.8,-3.3,
8,Denver,6,12,.333,15,17,.469,72.7,75.1,-9.6,-5.9,
8,North Dakota,6,12,.333,13,20,.394,72.1,73.9,-7.6,-3.1,
10,Omaha,4,14,.222,9,23,.281,68.5,76.2,-10.8,-1.8,
