k,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,South Dakota State,9,3,.750,16,7,.696,80.4,73.5,2.8,-2.5,
2,South Dakota,11,4,.733,14,11,.560,76.0,72.2,-1.6,-3.9,
3,North Dakota State,11,5,.688,15,12,.556,69.7,67.7,-1.0,-3.1,
4,Oral Roberts,10,5,.667,16,10,.615,81.8,75.8,-0.6,-2.4,
5,Missouri-Kansas City,7,7,.500,11,13,.458,70.1,62.6,-5.3,-3.0,
5,North Dakota,8,8,.500,9,17,.346,68.7,75.7,-10.8,-3.8,
7,Western Illinois,5,9,.357,7,15,.318,73.0,79.4,-12.6,-4.8,
8,Omaha,3,11,.214,5,20,.200,67.3,78.0,-13.1,-2.5,
9,Denver,1,13,.071,2,19,.095,69.8,79.1,-17.2,-6.6,
