Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Oral Roberts,17,1,.944,27,7,.794,72.6,65.8,5.2,-1.5,Reg. Season Champion
2,South Dakota State,15,3,.833,27,8,.771,76.8,66.5,7.3,-1.9,NCAA Tournament; Conf. Tournament Champion
3,Oakland,11,7,.611,20,16,.556,79.9,78.6,0.3,-0.5,
4,North Dakota State,9,9,.500,17,14,.548,73.1,68.4,0.0,-2.5,
4,Western Illinois,9,9,.500,18,15,.545,61.5,60.2,-2.8,-1.4,
6,Southern Utah,8,10,.444,14,17,.452,65.7,67.9,-6.2,-3.2,
7,IUPUI,7,11,.389,14,18,.438,72.5,72.8,-3.8,-1.7,
8,Purdue-Fort Wayne,5,13,.278,11,19,.367,70.0,74.7,-8.8,-2.1,
8,South Dakota,5,13,.278,10,18,.357,70.8,75.0,-9.6,-2.9,
10,Missouri-Kansas City,4,14,.222,10,21,.323,64.5,71.1,-8.8,-1.8,
