Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,North Dakota State,16,2,.889,26,7,.788,80.6,69.1,6.2,-2.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Oral Roberts,14,4,.778,16,15,.516,70.8,66.4,3.7,-0.1,
3,Oakland,13,5,.722,23,13,.639,75.0,70.7,1.8,-1.6,
4,IUPUI,9,9,.500,16,14,.533,65.5,63.3,-2.9,-2.5,
5,Southern Utah,8,10,.444,11,20,.355,65.1,68.2,-5.4,-2.1,
6,Purdue-Fort Wayne,8,10,.444,13,17,.433,65.7,68.5,-5.4,-0.6,
7,South Dakota State,7,11,.389,13,20,.394,69.1,71.1,-5.8,-1.4,
8,Centenary (LA),6,12,.333,8,23,.258,64.3,71.2,-8.5,-1.6,
9,Western Illinois,6,12,.333,9,20,.310,58.7,65.1,-10.9,-4.0,
10,Missouri-Kansas City,3,15,.167,7,24,.226,64.8,73.0,-10.1,-1.2,
