Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Oregon,14,4,.778,26,9,.743,85.5,72.5,19.7,6.9,NCAA Tournament; Reg. Season Champion
2,University of California,12,6,.667,23,9,.719,72.2,66.6,13.1,7.5,NCAA Tournament
2,Arizona,12,6,.667,24,10,.706,82.1,77.7,16.9,12.5,NCAA Tournament; Conf. Tournament Champion
2,Southern California,12,6,.667,22,10,.688,77.9,69.8,16.5,8.3,NCAA Tournament
2,Stanford,12,6,.667,20,10,.667,80.7,72.7,17.0,9.0,NCAA Tournament
6,UCLA,11,7,.611,21,12,.636,75.0,72.7,13.1,10.8,NCAA Tournament
7,Arizona State,7,11,.389,14,15,.483,76.9,73.9,9.8,6.8,
8,Washington,5,13,.278,11,18,.379,72.0,77.1,4.4,10.1,
9,Oregon State,4,14,.222,12,17,.414,64.3,66.5,4.0,7.9,
10,Washington State,1,17,.056,6,21,.222,70.4,80.4,-3.1,6.9,
