Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Stanford,16,2,.889,31,3,.912,83.2,65.5,25.8,9.9,NCAA Tournament; Reg. Season Champion
2,Arizona,15,3,.833,28,8,.778,81.3,66.3,26.8,12.6,NCAA Tournament; NCAA FF
3,UCLA,14,4,.778,23,9,.719,79.5,74.4,17.1,12.1,NCAA Tournament
4,Southern California,11,7,.611,24,10,.706,77.1,71.2,16.5,10.8,NCAA Tournament
4,University of California,11,7,.611,20,11,.645,74.3,68.6,14.8,9.1,NCAA Tournament
6,Oregon,5,13,.278,14,14,.500,78.1,77.3,8.7,7.9,
6,Arizona State,5,13,.278,13,16,.448,73.1,71.0,11.1,9.0,
6,Washington State,5,13,.278,12,16,.429,66.9,70.3,3.6,7.0,
9,Oregon State,4,14,.222,10,20,.333,61.9,63.8,4.5,8.8,
9,Washington,4,14,.222,10,20,.333,67.6,76.7,-0.1,10.1,
