Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Arizona,17,1,.944,28,4,.875,85.2,70.7,23.4,8.9,NCAA Tournament; Reg. Season Champion
2,Stanford,14,4,.778,24,9,.727,72.5,67.6,13.3,8.4,NCAA Tournament
3,University of California,13,5,.722,22,9,.710,74.2,70.0,11.8,7.6,NCAA Tournament
4,Arizona State,11,7,.611,20,12,.625,77.0,70.5,15.0,9.3,NCAA Tournament
5,Oregon,10,8,.556,23,10,.697,81.5,73.5,14.0,6.1,NCAA Tournament; Conf. Tournament Champion
6,Oregon State,6,12,.333,13,15,.464,68.0,68.4,3.9,5.9,
6,Southern California,6,12,.333,13,17,.433,76.5,76.6,7.3,7.3,
6,UCLA,6,12,.333,10,19,.345,75.2,78.6,6.3,9.7,
9,Washington,5,13,.278,10,17,.370,72.4,75.0,4.7,7.3,
10,Washington State,2,16,.111,7,20,.259,70.6,78.8,-1.5,6.7,
