Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Nevada,15,3,.833,29,8,.784,82.6,73.1,14.4,4.9,NCAA Tournament; Reg. Season Champion
2,Boise State,13,5,.722,23,9,.719,78.2,69.1,11.2,3.1,
3,New Mexico,12,6,.667,19,15,.559,82.2,77.7,5.8,3.3,
4,San Diego State,11,7,.611,22,11,.667,77.1,67.9,12.2,3.9,NCAA Tournament; Conf. Tournament Champion
4,Fresno State,11,7,.611,21,11,.656,76.8,68.8,8.2,1.8,
6,Wyoming,10,8,.556,20,13,.606,79.8,78.7,4.3,3.5,
7,Nevada-Las Vegas,8,10,.444,20,13,.606,83.4,78.1,7.2,1.9,
7,Utah State,8,10,.444,17,17,.500,73.2,72.5,2.3,2.6,
9,Air Force,6,12,.333,12,19,.387,68.5,72.4,-4.3,1.7,
10,Colorado State,4,14,.222,11,21,.344,72.3,79.3,-3.9,3.8,
11,San Jose State,1,17,.056,4,26,.133,65.8,75.3,-8.7,2.9,
