Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Utah State,15,5,.750,28,6,.824,82.5,70.4,17.4,6.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,San Diego State,14,6,.700,22,11,.667,78.2,71.0,13.6,8.1,
3,New Mexico,13,7,.650,23,10,.697,80.5,70.8,13.5,5.0,
3,Grand Canyon,13,7,.650,20,12,.625,75.6,68.7,11.0,4.1,
5,Nevada,12,8,.600,22,12,.647,75.9,71.6,10.2,5.8,
5,Boise State,12,8,.600,20,12,.625,78.2,73.5,12.0,7.8,
7,Colorado State,11,9,.550,21,12,.636,76.1,71.1,8.6,5.0,
7,Nevada-Las Vegas,11,9,.550,17,16,.515,79.4,78.6,5.6,6.1,
9,Wyoming,9,11,.450,18,14,.563,77.1,73.0,7.6,4.1,
10,Fresno State,7,13,.350,13,19,.406,72.8,72.8,3.5,4.7,
11,San Jose State,3,17,.150,9,24,.273,72.0,78.5,-2.0,6.4,
12,Air Force,0,20,.000,3,29,.094,61.5,79.9,-13.7,4.7,
