Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,New Mexico,17,3,.850,27,8,.771,80.5,70.6,15.2,6.5,NCAA Tournament; Reg. Season Champion
2,Colorado State,16,4,.800,26,10,.722,75.2,67.3,13.9,6.1,NCAA Tournament; Conf. Tournament Champion
3,Utah State,15,5,.750,26,8,.765,79.9,70.0,13.6,5.3,NCAA Tournament
4,Boise State,14,6,.700,26,11,.703,75.8,66.9,13.9,5.8,
4,San Diego State,14,6,.700,21,10,.677,70.8,64.6,12.8,8.1,NCAA Tournament
6,Nevada-Las Vegas,11,9,.550,18,15,.545,69.2,68.1,6.7,5.5,
7,Nevada,8,12,.400,17,16,.515,72.3,68.1,9.4,5.3,
8,San Jose State,7,13,.350,15,20,.429,72.1,73.4,0.5,4.0,
9,Wyoming,5,15,.250,12,20,.375,67.2,71.2,-0.7,4.2,
10,Fresno State,2,18,.100,6,26,.188,70.7,80.7,-5.6,4.4,
11,Air Force,1,19,.050,4,28,.125,61.9,73.7,-8.1,3.7,
