Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Boise State,15,3,.833,27,8,.771,68.3,60.9,11.9,5.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Colorado State,14,4,.778,25,6,.806,73.4,66.0,11.5,4.8,NCAA Tournament
3,San Diego State,13,4,.765,23,9,.719,65.4,58.1,13.1,5.8,NCAA Tournament
4,Wyoming,13,5,.722,25,9,.735,72.5,65.5,9.4,3.6,NCAA Tournament
5,Nevada-Las Vegas,10,8,.556,18,14,.563,69.9,65.6,7.2,4.6,
6,Fresno State,8,9,.471,23,13,.639,66.2,59.4,8.4,1.9,
7,Utah State,8,10,.444,18,16,.529,73.4,66.9,10.4,4.5,
8,Nevada,6,12,.333,13,18,.419,72.5,73.7,3.7,6.1,
9,New Mexico,5,12,.294,13,19,.406,74.3,75.3,1.3,4.3,
10,Air Force,4,13,.235,11,18,.379,59.0,66.0,-5.7,1.3,
11,San Jose State,1,17,.056,8,23,.258,64.3,72.3,-7.0,3.8,
