Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,San Diego State,16,2,.889,28,10,.737,68.6,60.6,11.9,4.3,Reg. Season Champion
2,Fresno State,13,5,.722,25,10,.714,75.1,70.7,5.3,2.2,NCAA Tournament; Conf. Tournament Champion
3,Boise State,11,7,.611,20,12,.625,77.5,70.2,7.2,3.1,
4,Nevada,10,8,.556,24,14,.632,75.7,72.1,2.8,1.8,
4,New Mexico,10,8,.556,17,15,.531,76.0,73.4,5.2,2.6,
6,Nevada-Las Vegas,8,10,.444,18,15,.545,78.2,73.5,5.5,3.2,
6,Colorado State,8,10,.444,18,16,.529,79.4,77.2,2.3,1.5,
8,Utah State,7,11,.389,16,15,.516,73.4,71.5,2.7,2.1,
8,Wyoming,7,11,.389,14,18,.438,68.5,71.9,0.1,2.2,
10,Air Force,5,13,.278,14,18,.438,68.4,72.8,-5.5,0.7,
11,San Jose State,4,14,.222,9,22,.290,70.5,73.9,-5.8,1.4,
