Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Hofstra,14,4,.778,26,8,.765,76.4,68.4,3.1,-3.9,Reg. Season Champion; Conf. Tournament Champion
2,William & Mary,13,5,.722,21,11,.656,71.5,69.0,-2.5,-3.1,
3,Towson,12,6,.667,19,13,.594,70.6,66.4,0.1,-1.5,
4,Delaware,11,7,.611,22,11,.667,74.3,70.7,-1.5,-3.8,
4,College of Charleston,11,7,.611,17,14,.548,70.2,68.0,0.5,-0.8,
6,Northeastern,9,9,.500,17,16,.515,71.1,66.4,1.4,-3.3,
7,Elon,7,11,.389,13,21,.382,68.7,71.7,-7.8,-2.0,
8,Drexel,6,12,.333,14,19,.424,68.3,70.4,-5.4,-2.2,
9,North Carolina-Wilmington,5,13,.278,10,22,.313,68.3,71.7,-9.3,-0.9,
10,James Madison,2,16,.111,9,21,.300,71.9,76.5,-9.2,-2.8,
