Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,North Carolina-Wilmington,15,3,.833,29,6,.829,84.8,75.0,8.1,-0.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,College of Charleston,14,4,.778,25,10,.714,69.0,64.6,4.0,-0.2,
3,Towson,11,7,.611,20,13,.606,74.2,69.2,1.8,-1.3,
4,Elon,10,8,.556,18,14,.563,75.1,71.6,0.2,-1.4,
4,William & Mary,10,8,.556,17,14,.548,81.7,77.8,-0.1,-0.7,
6,Northeastern,8,10,.444,15,16,.484,72.1,71.9,-0.8,-0.9,
7,Hofstra,7,11,.389,15,17,.469,77.3,76.7,-2.3,-1.9,
7,James Madison,7,11,.389,10,23,.303,66.5,69.7,-5.6,-1.8,
9,Delaware,5,13,.278,13,20,.394,65.4,72.2,-10.0,-1.4,
10,Drexel,3,15,.167,9,23,.281,74.9,78.4,-7.4,-2.6,
