Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Virginia Commonwealth,14,4,.778,24,10,.706,71.8,63.4,7.7,-0.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,George Mason,13,5,.722,22,11,.667,66.3,60.6,3.8,-2.0,
3,Old Dominion,12,6,.667,25,10,.714,66.7,60.3,2.9,-2.2,
3,Northeastern,12,6,.667,19,13,.594,62.5,60.4,1.9,-0.2,
5,Hofstra,11,7,.611,21,11,.656,66.5,66.4,-3.4,-2.9,
6,Drexel,10,8,.556,15,14,.517,61.7,61.2,-0.8,-1.3,
7,James Madison,9,9,.500,21,15,.583,70.6,68.5,-1.1,-2.9,
8,Georgia State,8,10,.444,12,20,.375,60.3,63.6,-6.1,-1.8,
9,Delaware,6,12,.333,13,19,.406,67.9,70.1,-4.8,-2.6,
10,William & Mary,5,13,.278,10,20,.333,61.5,63.4,-6.0,-2.8,
11,Towson,5,13,.278,12,22,.353,65.1,70.6,-7.3,-1.3,
12,North Carolina-Wilmington,3,15,.167,7,25,.219,71.3,83.5,-13.8,-0.7,
