Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Virginia Commonwealth,16,2,.889,28,7,.800,75.0,65.7,9.5,0.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Old Dominion,15,3,.833,24,9,.727,69.4,62.0,7.8,0.4,NCAA Tournament
3,Hofstra,14,4,.778,22,10,.688,73.1,69.8,2.5,-0.6,
4,Drexel,13,5,.722,23,9,.719,66.5,60.6,5.4,0.5,
5,Northeastern,9,9,.500,13,19,.406,62.2,66.5,-4.0,0.3,
6,George Mason,9,9,.500,18,15,.545,63.3,59.1,4.2,-0.1,
7,Towson,8,10,.444,15,17,.469,68.0,67.9,-1.2,-0.6,
8,William & Mary,8,10,.444,15,15,.500,63.5,64.2,-3.8,-2.5,
9,Georgia State,5,13,.278,11,20,.355,64.3,71.8,-8.1,-0.1,
10,North Carolina-Wilmington,4,14,.222,7,22,.241,64.5,70.9,-6.4,0.0,
11,James Madison,4,14,.222,7,23,.233,64.0,72.6,-10.2,-1.1,
12,Delaware,3,15,.167,5,26,.161,60.5,69.8,-11.4,-2.1,
