Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Stony Brook,14,2,.875,26,7,.788,76.2,64.1,3.8,-5.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Albany (NY),13,3,.813,24,9,.727,75.6,66.1,0.9,-7.6,
3,Vermont,11,5,.688,23,14,.622,75.0,70.6,-1.5,-4.7,
3,New Hampshire,11,5,.688,20,13,.606,71.0,69.6,-7.9,-7.1,
5,Massachusetts-Lowell,7,9,.438,11,18,.379,76.6,82.8,-13.6,-6.2,
6,Binghamton,5,11,.313,8,22,.267,60.9,68.6,-14.1,-6.3,
7,Hartford,4,12,.250,10,23,.303,70.8,78.4,-14.3,-5.7,
7,Maine,4,12,.250,8,22,.267,76.0,86.9,-17.4,-6.5,
9,Maryland-Baltimore County,3,13,.188,7,25,.219,72.1,80.6,-15.4,-6.9,
