Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Vermont,14,2,.875,27,7,.794,73.8,63.0,4.9,-4.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Stony Brook,12,4,.750,24,9,.727,71.6,66.3,-2.1,-6.5,
3,Maryland-Baltimore County,11,5,.688,21,13,.618,67.5,64.0,-5.9,-5.9,
4,Hartford,10,6,.625,18,15,.545,75.1,72.9,-4.0,-4.9,
5,Massachusetts-Lowell,7,9,.438,15,17,.469,76.8,75.6,-8.3,-6.9,
5,Albany (NY),7,9,.438,12,20,.375,67.2,69.3,-9.4,-6.7,
7,Binghamton,5,11,.313,10,23,.303,65.2,72.0,-13.9,-4.7,
8,New Hampshire,3,13,.188,5,24,.172,60.1,68.6,-18.7,-6.0,
8,Maine,3,13,.188,5,27,.156,62.1,71.0,-15.1,-4.2,
