Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Maryland-Baltimore County,10,4,.714,14,6,.700,69.6,64.9,-1.0,-5.7,Reg. Season Champion
1,Vermont,10,4,.714,10,5,.667,73.0,63.4,2.0,-7.6,Reg. Season Champion
3,New Hampshire,9,6,.600,10,9,.526,67.3,66.6,-8.2,-6.7,
4,Hartford,8,6,.571,15,9,.625,65.4,63.9,-3.4,-4.9,NCAA Tournament; Conf. Tournament Champion
5,Albany (NY),6,6,.500,7,9,.438,69.4,68.7,-4.5,-5.2,
6,Massachusetts-Lowell,7,8,.467,11,12,.478,68.5,70.9,-6.0,-3.6,
7,Stony Brook,7,9,.438,9,14,.391,66.2,65.6,-6.1,-4.7,
8,NJIT,6,10,.375,7,12,.368,66.1,70.2,-9.8,-5.7,
9,Binghamton,4,10,.286,4,14,.222,65.4,72.3,-12.2,-5.4,
10,Maine,2,6,.250,2,7,.222,53.1,64.6,-15.7,-4.2,
