Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Vermont,17,1,.944,28,5,.848,74.9,60.3,7.8,-6.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Maryland-Baltimore County,11,7,.611,18,14,.563,73.7,72.1,-6.0,-6.4,
3,Stony Brook,10,8,.556,18,13,.581,72.9,73.1,-6.6,-5.4,
3,New Hampshire,10,8,.556,15,13,.536,68.8,65.0,-6.2,-7.1,
5,Albany (NY),9,9,.500,13,18,.419,61.8,65.9,-9.7,-5.7,
5,Hartford,9,9,.500,12,20,.375,69.8,72.2,-9.9,-7.6,
7,Binghamton,8,10,.444,12,17,.414,67.7,68.4,-10.3,-6.1,
8,Massachusetts-Lowell,7,11,.389,15,16,.484,70.7,65.8,-7.0,-6.6,
9,NJIT,6,12,.333,11,18,.379,63.0,70.0,-14.5,-6.1,
10,Maine,3,15,.167,6,23,.207,62.4,71.1,-18.3,-5.2,
