Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Vermont,16,2,.889,25,7,.781,71.8,62.1,7.8,-2.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Northeastern,15,3,.833,21,10,.677,73.5,70.0,0.5,-3.0,
3,Boston University,14,4,.778,20,9,.690,62.8,55.7,3.2,-3.9,
4,Albany (NY),9,9,.500,13,15,.464,67.4,64.7,-2.6,-5.3,
5,Binghamton,8,10,.444,12,17,.414,61.5,63.4,-4.5,-2.6,
6,Maine,8,10,.444,14,15,.483,63.6,65.0,-7.0,-4.2,
7,Stony Brook,6,12,.333,12,17,.414,61.8,65.8,-8.6,-4.7,
8,New Hampshire,5,13,.278,9,19,.321,64.9,69.5,-10.1,-3.9,
9,Maryland-Baltimore County,5,13,.278,11,18,.379,61.3,66.3,-11.7,-5.5,
10,Hartford,4,14,.222,8,20,.286,59.5,69.8,-15.1,-4.2,
