Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Hofstra,16,2,.889,26,5,.839,72.8,62.2,5.1,-5.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Delaware,14,4,.778,20,10,.667,75.1,67.1,1.9,-6.0,
3,Drexel,12,6,.667,15,12,.556,75.0,73.6,-4.1,-5.4,
4,Maine,10,8,.556,18,11,.621,78.4,75.6,-4.7,-6.5,
5,Boston University,9,9,.500,14,14,.500,68.3,67.8,-5.3,-5.8,
6,Northeastern,8,10,.444,10,19,.345,73.4,81.2,-11.9,-4.1,
7,Towson,7,11,.389,12,17,.414,68.9,72.0,-10.8,-7.7,
8,Vermont,7,11,.389,12,17,.414,73.2,77.6,-10.3,-5.9,
9,New Hampshire,6,12,.333,7,21,.250,72.6,82.1,-14.5,-4.9,
10,Hartford,1,17,.056,4,24,.143,65.0,76.1,-16.8,-5.8,
